QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote
USPENN.112487.R11,USSR advantage,46,Do you think Soviet leader (Mikhail) Gorbachev is sincere in wanting to limit arms on both sides or is his aim primarily to use arms control agreements as a way to lock in a Soviet advantage in arms?,,,11/24/1987,Penn & Schoen Associates,Committee on the Present Danger,"Arms Control, INF and the Summit Survey",10/31/1987,11/5/1987,Y,National adult,803,Telephone Interview,
USPENN.112487.R11,Don't know,15,Do you think Soviet leader (Mikhail) Gorbachev is sincere in wanting to limit arms on both sides or is his aim primarily to use arms control agreements as a way to lock in a Soviet advantage in arms?,,,11/24/1987,Penn & Schoen Associates,Committee on the Present Danger,"Arms Control, INF and the Summit Survey",10/31/1987,11/5/1987,Y,National adult,803,Telephone Interview,
USORC.87DEC.R5,Improved,56,"(From what you have heard or read about this new policy of Glasnost, or openness) Do you think the chances of negotiating a satisfactory arms control agreement with Russia have now improved, not changed, or gotten worse?",,Heard/read of Glasnost (60%),12/1/1987,Opinion Research Corporation,,ORC Issue Watch,11/13/1987,11/15/1987,Y,National adult,1006,Telephone Interview,
USORC.87DEC.R5,Not changed,37,"(From what you have heard or read about this new policy of Glasnost, or openness) Do you think the chances of negotiating a satisfactory arms control agreement with Russia have now improved, not changed, or gotten worse?",,Heard/read of Glasnost (60%),12/1/1987,Opinion Research Corporation,,ORC Issue Watch,11/13/1987,11/15/1987,Y,National adult,1006,Telephone Interview,
USORC.87DEC.R5,Gotten worse,4,"(From what you have heard or read about this new policy of Glasnost, or openness) Do you think the chances of negotiating a satisfactory arms control agreement with Russia have now improved, not changed, or gotten worse?",,Heard/read of Glasnost (60%),12/1/1987,Opinion Research Corporation,,ORC Issue Watch,11/13/1987,11/15/1987,Y,National adult,1006,Telephone Interview,
USORC.87DEC.R5,No opinion,3,"(From what you have heard or read about this new policy of Glasnost, or openness) Do you think the chances of negotiating a satisfactory arms control agreement with Russia have now improved, not changed, or gotten worse?",,Heard/read of Glasnost (60%),12/1/1987,Opinion Research Corporation,,ORC Issue Watch,11/13/1987,11/15/1987,Y,National adult,1006,Telephone Interview,
USABCWP.274.R24,"Yes, will lead to important",,Do you think the (Reagan-Gorbachev) summit meeting will lead to important accomplishments in arms control or not?,,,12/3/1987,Chilton Research Services,ABC News; Washington Post,ABC News/Washington Post Poll,11/30/1987,12/2/1987,Y,National Adult,1007,Telephone Interview,
USABCWP.274.R24,"accomplishments No, will not lead to important",59,Do you think the (Reagan-Gorbachev) summit meeting will lead to important accomplishments in arms control or not?,,,12/3/1987,Chilton Research Services,ABC News; Washington Post,ABC News/Washington Post Poll,11/30/1987,12/2/1987,Y,National Adult,1007,Telephone Interview,
USABCWP.274.R24,accomplishments,38,Do you think the (Reagan-Gorbachev) summit meeting will lead to important accomplishments in arms control or not?,,,12/3/1987,Chilton Research Services,ABC News; Washington Post,ABC News/Washington Post Poll,11/30/1987,12/2/1987,Y,National Adult,1007,Telephone Interview,
USABCWP.274.R24,Don't know/No opinion,3,Do you think the (Reagan-Gorbachev) summit meeting will lead to important accomplishments in arms control or not?,,,12/3/1987,Chilton Research Services,ABC News; Washington Post,ABC News/Washington Post Poll,11/30/1987,12/2/1987,Y,National Adult,1007,Telephone Interview,
